,iso_country,coords,name,type,municipality,coords_lon,coords_lat,latlong,display_str
56416,AU,"136.73699951171875, -30.716699600219727",Roxby Downs Station Airport,small_airport,,136.73699951171875,-30.716699600219727,"[-30.716699600219727, 136.73699951171875]",Roxby Downs Station Airport |  | small_airport
56417,AU,"119.959030151, -22.625815891",Roy Hill Station Airport,small_airport,,119.959030151,-22.625815891,"[-22.625815891, 119.959030151]",Roy Hill Station Airport |  | small_airport
56418,AU,"138.60952758789062, -31.653528213500977",Rawnsley Park Airport,small_airport,,138.60952758789062,-31.653528213500977,"[-31.653528213500977, 138.60952758789062]",Rawnsley Park Airport |  | small_airport
56419,AU,"119.61699676513672, -22.799999237060547",Sandhill Airport,small_airport,,119.61699676513672,-22.799999237060547,"[-22.799999237060547, 119.61699676513672]",Sandhill Airport |  | small_airport
56420,AU,"131.86700439453125, -23.700000762939453",Saipem Airport,small_airport,,131.86700439453125,-23.700000762939453,"[-23.700000762939453, 131.86700439453125]",Saipem Airport |  | small_airport
56421,AU,"119.2969970703125, -27.979999542236328",Sandstone Airport,small_airport,SANDSTONE,119.2969970703125,-27.979999542236328,"[-27.979999542236328, 119.2969970703125]",Sandstone Airport | SANDSTONE | small_airport
56422,AU,"135.24200439453125, -27.043100357055664",Mount Sarah Airport,small_airport,,135.24200439453125,-27.043100357055664,"[-27.043100357055664, 135.24200439453125]",Mount Sarah Airport |  | small_airport
56423,AU,"145.73800659179688, -36.85499954223633",Strathbogie Airport,small_airport,,145.73800659179688,-36.85499954223633,"[-36.85499954223633, 145.73800659179688]",Strathbogie Airport |  | small_airport
56424,AU,"150.98800659179688, -33.924400329589844",Sydney Bankstown Airport,medium_airport,SYDNEY,150.98800659179688,-33.924400329589844,"[-33.924400329589844, 150.98800659179688]",Sydney Bankstown Airport | SYDNEY | medium_airport
56425,AU,"139.7169952392578, -21.566699981689453",Stanbroke Airport,small_airport,,139.7169952392578,-21.566699981689453,"[-21.566699981689453, 139.7169952392578]",Stanbroke Airport |  | small_airport
56426,AU,"141.17300415, -33.207199096699995",Scotia Sanctuary Airport,small_airport,,141.17300415,-33.207199096699995,"[-33.207199096699995, 141.17300415]",Scotia Sanctuary Airport |  | small_airport
56427,AU,"149.19500732421875, -35.30690002441406",Canberra International Airport,large_airport,CANBERRA,149.19500732421875,-35.30690002441406,"[-35.30690002441406, 149.19500732421875]",Canberra International Airport | CANBERRA | large_airport
56428,AU,"122.3221, -30.1737",Carosue Dam Airport,small_airport,CAROSUE_DAM_GOLD_MINE,122.3221,-30.1737,"[-30.1737, 122.3221]",Carosue Dam Airport | CAROSUE_DAM_GOLD_MINE | small_airport
56429,AU,"153.115997, -30.320601",Coffs Harbour Airport,medium_airport,COFFS_HARBOUR,153.115997,-30.320601,"[-30.320601, 153.115997]",Coffs Harbour Airport | COFFS_HARBOUR | medium_airport
56430,AU,"150.68699645996094, -34.04029846191406",Camden Airport,medium_airport,,150.68699645996094,-34.04029846191406,"[-34.04029846191406, 150.68699645996094]",Camden Airport |  | medium_airport
56431,AU,"150.83200073242188, -32.037200927734375",Scone Airport,small_airport,,150.83200073242188,-32.037200927734375,"[-32.037200927734375, 150.83200073242188]",Scone Airport |  | small_airport
56432,AU,"119.36000061035156, -31.239999771118164",Southern Cross Airport,small_airport,,119.36000061035156,-31.239999771118164,"[-31.239999771118164, 119.36000061035156]",Southern Cross Airport |  | small_airport
56433,AU,"142.36700439453125, -12.75",Sudley Airport,small_airport,,142.36700439453125,-12.75,"[-12.75, 142.36700439453125]",Sudley Airport |  | small_airport
